path,filename,label,cluster
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_0.jpg,Apple Braeburn_0.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_1.jpg,Apple Braeburn_1.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_10.jpg,Apple Braeburn_10.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_100.jpg,Apple Braeburn_100.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_101.jpg,Apple Braeburn_101.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_102.jpg,Apple Braeburn_102.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_103.jpg,Apple Braeburn_103.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_104.jpg,Apple Braeburn_104.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_105.jpg,Apple Braeburn_105.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_106.jpg,Apple Braeburn_106.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_107.jpg,Apple Braeburn_107.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_108.jpg,Apple Braeburn_108.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_109.jpg,Apple Braeburn_109.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_11.jpg,Apple Braeburn_11.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_110.jpg,Apple Braeburn_110.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_111.jpg,Apple Braeburn_111.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_112.jpg,Apple Braeburn_112.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_113.jpg,Apple Braeburn_113.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_114.jpg,Apple Braeburn_114.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_115.jpg,Apple Braeburn_115.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_116.jpg,Apple Braeburn_116.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_117.jpg,Apple Braeburn_117.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_118.jpg,Apple Braeburn_118.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_119.jpg,Apple Braeburn_119.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_12.jpg,Apple Braeburn_12.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_120.jpg,Apple Braeburn_120.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_121.jpg,Apple Braeburn_121.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_122.jpg,Apple Braeburn_122.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_123.jpg,Apple Braeburn_123.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_124.jpg,Apple Braeburn_124.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_125.jpg,Apple Braeburn_125.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_126.jpg,Apple Braeburn_126.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_127.jpg,Apple Braeburn_127.jpg,Apple Braeburn,22
data\raw\fruits\train\Apple Braeburn\Apple Braeburn_128.jpg,Apple Braeburn_128.jpg,Apple Braeburn,22
